"model","scenario","variable","SDP","relative_change_iam_variable_pc","total_atkinson_utility_change","global_gini","global_avg_deprivation","global_avg_surplus","AggUtilitarian","Prioritarian","Egalitarian","Sufficientarian","Limitarian"
"AIM/CGE 2.2","EN_NPi2020_800","Final_Energy_Transportation","RC",0.900864962899416,-0.291039736570546,0.473692434001245,-0.229022025063684,11.5259016359565,"no","no","no","no","no"
"AIM/CGE 2.2","EN_NPi2020_800f","Final_Energy_Transportation","RC",0.963528211469531,0.359544753569786,0.459852185883708,-0.0284176035358912,13.74374731052,"no","yes","no","no","no"
"AIM/CGE 2.2","EN_NPi2020_900","Final_Energy_Transportation","RC",0.92759628045253,-0.00440484288241194,0.47132490161474,-0.148629556800451,12.4190368538735,"no","no","no","no","no"
"AIM/CGE 2.2","EN_NPi2020_900f","Final_Energy_Transportation","RC",0.97501775803907,0.472979983563658,0.459133470599339,0,14.1646228662227,"no","yes","no","yes","no"
"AIM/CGE 2.2","EN_NPi2100","Final_Energy_Transportation","RC",1.16099463138829,2.20897644464495,0.442144768725801,0,13.1155061500444,"yes","yes","no","yes","no"
"GCAM 4.0","20% abatement (FF&I)","Final_Energy_Transportation","RC",1.24276198041768,2.74424667105425,0.432563769440254,0,10.3423688814105,"yes","yes","no","yes","no"
"GCAM 4.0","20% abatement (GHG)","Final_Energy_Transportation","RC",1.22544822332386,2.60318922185004,0.432939406367861,0,10.2253272659229,"yes","yes","no","yes","no"
"GCAM 4.0","450 concentration","Final_Energy_Transportation","RC",1.22664922900955,2.61880771478486,0.434155515440399,0,10.0714389715031,"yes","yes","no","yes","no"
"GCAM 4.0","50% abatement (FF&I)","Final_Energy_Transportation","RC",1.23196222484003,2.67244559109733,0.435511035912589,0,9.74696007544563,"yes","yes","no","yes","no"
"GCAM 4.0","50% abatement (GHG)","Final_Energy_Transportation","RC",1.20900365342062,2.48504003308335,0.437181181894527,0,9.40360345042577,"yes","yes","no","yes","no"
"GCAM 4.0","550 concentration","Final_Energy_Transportation","RC",1.23872276764386,2.70844074796051,0.432326959087082,0,10.4852932365039,"yes","yes","no","yes","no"
"GCAM 4.0","650 concentration","Final_Energy_Transportation","RC",1.2571775687432,2.84276929300842,0.429764701262626,0,11.112511383953,"yes","yes","no","yes","no"
"GCAM 4.0","Core baseline","Final_Energy_Transportation","RC",1.27700942629156,2.98614865758762,0.427235165436227,0,11.7448684763279,"yes","yes","no","yes","no"
"GCAM 4.0","High CO2 price","Final_Energy_Transportation","RC",1.19576361630488,2.39293632587209,0.441009461683957,0,8.65333132694061,"yes","yes","no","yes","no"
