model,scenario,primary_energy_change,renewables_vs_fossil,Renewables,CDR,Demand,Other,IMP_count
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,56.225599999999986,-150.8555,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,235.42809999999997,-618.1872000000001,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,-13.342499999999973,103.1346,False,False,True,False,1
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,57.43060000000003,-139.81099999999998,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,235.28449999999998,-615.6034,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,22.506899999999973,63.63010000000003,True,False,False,False,1
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,95.8116,-169.43379999999996,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,238.1436,-610.7766999999999,False,True,False,False,1
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,-44.869500000000016,53.66569999999999,False,False,True,False,1
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,-0.1389000000000351,-112.07459999999998,False,False,True,False,1
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,94.79309999999998,-429.9341,False,True,False,False,1
AIM/CGE 2.0,SSP1-19,-70.435,95.97920000000002,False,False,True,False,1
AIM/CGE 2.0,SSP1-26,-11.517799999999966,-82.47120000000001,False,False,True,False,1
AIM/CGE 2.0,SSP1-34,38.581500000000005,-209.31179999999998,False,True,False,False,1
AIM/CGE 2.0,SSP1-45,99.82229999999998,-303.6657,False,True,False,False,1
AIM/CGE 2.0,SSP1-Baseline,109.24709999999993,-364.8826,False,True,False,False,1
AIM/CGE 2.0,SSP2-19,-10.449200000000019,40.44750000000002,False,False,True,False,1
AIM/CGE 2.0,SSP2-26,52.26350000000002,-166.25080000000003,False,True,False,False,1
AIM/CGE 2.0,SSP2-34,88.70490000000007,-251.8911,False,True,False,False,1
AIM/CGE 2.0,SSP2-45,149.36980000000005,-379.05150000000003,False,True,False,False,1
AIM/CGE 2.0,SSP2-60,200.313,-458.37399999999997,False,True,False,False,1
AIM/CGE 2.0,SSP2-Baseline,253.54039999999998,-643.8586,False,True,False,False,1
AIM/CGE 2.0,SSP3-34,58.617000000000075,-249.58750000000003,False,True,False,False,1
AIM/CGE 2.0,SSP3-45,107.95550000000003,-357.4473,False,True,False,False,1
AIM/CGE 2.0,SSP3-60,153.47070000000008,-430.8968,False,True,False,False,1
AIM/CGE 2.0,SSP3-Baseline,277.6187,-643.6693,False,True,False,False,1
AIM/CGE 2.0,SSP4-26,69.46130000000016,-119.57770000000005,False,True,False,False,1
AIM/CGE 2.0,SSP4-34,91.32069999999999,-189.3093,False,True,False,False,1
AIM/CGE 2.0,SSP4-45,148.84410000000003,-288.2761,False,True,False,False,1
AIM/CGE 2.0,SSP4-Baseline,177.87250000000006,-363.56769999999995,False,True,False,False,1
AIM/CGE 2.0,SSP5-26,177.56010000000003,-167.39659999999998,False,True,False,False,1
AIM/CGE 2.0,SSP5-34,285.06690000000003,-447.32750000000004,False,True,False,False,1
AIM/CGE 2.0,SSP5-45,320.9125,-524.2040999999999,False,True,False,False,1
AIM/CGE 2.0,SSP5-60,339.0792,-566.1293000000001,False,True,False,False,1
AIM/CGE 2.0,SSP5-Baseline,449.04250000000013,-852.3394999999999,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_INDC2030i_1600,58.08129999999994,-130.0790999999999,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_INDCi,175.46350000000007,-404.94909999999993,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,38.53679999999997,34.57909999999998,True,False,False,False,1
AIM/CGE 2.1,CD-LINKS_NPi,226.0494,-533.7993,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,74.83010000000002,-110.87810000000002,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,60.81910000000005,-156.67039999999997,False,True,False,False,1
AIM/CGE 2.1,CD-LINKS_NPi2020_400,-1.3383999999999787,173.4817,False,False,True,False,1
AIM/CGE 2.1,CD-LINKS_NoPolicy,275.90739999999994,-613.6342999999999,False,True,False,False,1
AIM/CGE 2.1,CO_2Deg2020,86.59400000000016,-234.63320000000002,False,True,False,False,1
AIM/CGE 2.1,CO_2Deg2030,-14.413799999999924,-2.4412999999999556,False,False,True,False,1
