variable,scenario,region,weighted_avg_energy_per_capita_uncorrected,unit
Final Energy|Transportation,SDP_EI-1p5C,Countries of centrally-planned Asia; primarily China,8.206185582944,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",13.88804888181041,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,"Eastern and Western Europe (i.e., the EU28)",11.125792840783758,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,North America; primarily the United States of America and Canada,21.672328704259076,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,Other countries of Asia,10.094971177707215,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,Pacific OECD,12.665094078911642,GJ/cap/yr
Final Energy|Transportation,SDP_EI-1p5C,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,10.177063488565976,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Countries of Latin America and the Caribbean,11.37835440901268,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Countries of South Asia; primarily India,4.304530753735254,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Countries of Sub-Saharan Africa,4.658387892708303,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Countries of centrally-planned Asia; primarily China,7.469390934976142,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",14.953434108112894,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,"Eastern and Western Europe (i.e., the EU28)",8.46575020895397,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,North America; primarily the United States of America and Canada,18.208228293896845,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Other countries of Asia,9.639148293230827,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Pacific OECD,10.322817399426086,GJ/cap/yr
Final Energy|Transportation,SDP_MC-1p5C,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,9.613166127438861,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Countries of Latin America and the Caribbean,7.855183396621516,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Countries of South Asia; primarily India,3.321089079453507,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Countries of Sub-Saharan Africa,3.408763354871434,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Countries of centrally-planned Asia; primarily China,4.874215242545015,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",10.00662810408388,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,"Eastern and Western Europe (i.e., the EU28)",6.017384137244969,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,North America; primarily the United States of America and Canada,15.259468970936659,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Other countries of Asia,6.476787806091023,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Pacific OECD,7.956560221232756,GJ/cap/yr
Final Energy|Transportation,SDP_RC-1p5C,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,7.644969217691813,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Countries of Latin America and the Caribbean,19.420359930162213,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Countries of South Asia; primarily India,9.635513569955444,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Countries of Sub-Saharan Africa,9.115069363888033,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Countries of centrally-planned Asia; primarily China,15.267383046558798,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,"Countries of the Middle East; Iran, Iraq, Israel, Saudi Arabia, Qatar, etc.",27.51757514922317,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,"Eastern and Western Europe (i.e., the EU28)",14.264636478945754,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,North America; primarily the United States of America and Canada,47.46872013615044,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Other countries of Asia,17.181581955824047,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Pacific OECD,22.36239340457721,GJ/cap/yr
Final Energy|Transportation,SSP2-NPi,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,18.512306204059914,GJ/cap/yr
